Categoría,Subcategoría,Producto,SKU,Precio público,Descripción,Imagen
Deck,Wall Cladding,Wall Cladding Wenge 2.90X11.9X1.4 (Caja 12 Piezas),M-CLAD-6-005W,2500.0,"Revestimiento exterior tipo madera en piezas ligeras y resistentes, ideal para fachadas, bardas y muros de acento. Modelo Wall Cladding Wenge 2.90X11.9X1.4 (Caja 12 Piezas). Medida indicada: 2.90X11.9X1.4. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/proyecto-walnut.jpg
Deck,Wall Cladding,Wall Cladding Teak 2.90X11.9X1.4 (Caja 12 Piezas),M-CLAD-6-003T,2500.0,"Revestimiento exterior tipo madera en piezas ligeras y resistentes, ideal para fachadas, bardas y muros de acento. Modelo Wall Cladding Teak 2.90X11.9X1.4 (Caja 12 Piezas). Medida indicada: 2.90X11.9X1.4. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/proyecto-walnut.jpg
Deck,Wall Cladding,Wall Cladding Tasmania 2.90X11.9X1.4 (Caja 12 Piezas),M-CLAD-6-5402T,2500.0,"Revestimiento exterior tipo madera en piezas ligeras y resistentes, ideal para fachadas, bardas y muros de acento. Modelo Wall Cladding Tasmania 2.90X11.9X1.4 (Caja 12 Piezas). Medida indicada: 2.90X11.9X1.4. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/proyecto-walnut.jpg
Deck,Wall Cladding,Wall Cladding Redwood 2.90X11.9X1.4 (Caja 12 Piezas),M-CLAD-6-002R,2500.0,"Revestimiento exterior tipo madera en piezas ligeras y resistentes, ideal para fachadas, bardas y muros de acento. Modelo Wall Cladding Redwood 2.90X11.9X1.4 (Caja 12 Piezas). Medida indicada: 2.90X11.9X1.4. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/proyecto-walnut.jpg
Deck,Wall Cladding,Wall Cladding Merbau 2.90X11.9X1.4 (Caja 12 Piezas),M-CLAD-6-5403M,2500.0,"Revestimiento exterior tipo madera en piezas ligeras y resistentes, ideal para fachadas, bardas y muros de acento. Modelo Wall Cladding Merbau 2.90X11.9X1.4 (Caja 12 Piezas). Medida indicada: 2.90X11.9X1.4. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/proyecto-walnut.jpg
Deck,Wall Cladding,Wall Cladding Maple 2.90X11.9X1.4 (Caja 12 Piezas),M-CLAD-6-004M,2500.0,"Revestimiento exterior tipo madera en piezas ligeras y resistentes, ideal para fachadas, bardas y muros de acento. Modelo Wall Cladding Maple 2.90X11.9X1.4 (Caja 12 Piezas). Medida indicada: 2.90X11.9X1.4. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/proyecto-walnut.jpg
Deck,Wall Cladding,Wall Cladding Hickory 2.90X11.9X1.4 (Caja 12 Piezas),M-CLAD-6-5401H,2500.0,"Revestimiento exterior tipo madera en piezas ligeras y resistentes, ideal para fachadas, bardas y muros de acento. Modelo Wall Cladding Hickory 2.90X11.9X1.4 (Caja 12 Piezas). Medida indicada: 2.90X11.9X1.4. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/proyecto-walnut.jpg
Accesorios para muros,Vigas decorativas,Vigas PU Interior Castaño 2.90X15.2X7.5,M-VIGAPU-02,465.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Vigas PU Interior Castaño 2.90X15.2X7.5. Medida indicada: 2.90X15.2X7.5. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga PU Interior Wenge 2.90X15.2X7.5,M-VIGAPU-07,465.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga PU Interior Wenge 2.90X15.2X7.5. Medida indicada: 2.90X15.2X7.5. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga PU Interior Nogal 2.90X15.2X7.5,M-VIGAPU-03,465.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga PU Interior Nogal 2.90X15.2X7.5. Medida indicada: 2.90X15.2X7.5. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga PU Interior Ipe 2.90X15.2X7.5,M-VIGAPU-04,465.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga PU Interior Ipe 2.90X15.2X7.5. Medida indicada: 2.90X15.2X7.5. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Interior Sao Paulo 2.90X5X5Cm,M-VIGA2-019,85.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Interior Sao Paulo 2.90X5X5Cm. Medida indicada: 2.90X5X5CM. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Interior Sao Paulo 2.90X10X5 2,M-VIGA1-019,100.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Interior Sao Paulo 2.90X10X5 2. Medida indicada: 2.90X10X5. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
Accesorios para muros,Vigas decorativas,Viga Interior Rio 2.90X5X5Cm,M-VIGA2-201,85.0,"Vigas ligeras para interiores y exteriores que aportan volumen y apariencia tipo madera. Modelo Viga Interior Rio 2.90X5X5Cm. Medida indicada: 2.90X5X5CM. Consulta disponibilidad, cobertura por caja y recomendaciones de instalación.",assets/category-vigas.jpg
